City or town,Population,Unrestricted General Government Aid,Gross lottery sales,
BOSTON,"617,594","$160,247,301.00","$535,596,750.50",
WORCESTER      ,"181,045","$35,150,026.00","$150,438,334.25",
SPRINGFIELD    ,"153,060","$32,020,398.00","$111,525,910.75",
LOWELL         ,"106,519","$21,304,471.00","$78,631,270.50",
CAMBRIDGE      ,"105,162","$18,170,690.00","$45,304,328.50",
NEW BEDFORD    ,"95,072","$19,457,251.00","$86,566,348.25",
BROCKTON       ,"93,810","$17,709,906.00","$80,572,451.00",
QUINCY         ,"92,271","$16,150,797.00","$103,321,283.50",
LYNN           ,"90,329","$18,937,447.00","$93,215,072.00",
FALL RIVER     ,"88,857","$20,156,220.00","$69,193,642.50",
NEWTON         ,"85,146","$4,970,628.00","$26,287,211.25",
LAWRENCE       ,"76,377","$16,607,385.00","$35,027,493.00",
SOMERVILLE,"75,754","$21,311,532.00","$59,787,471.25",
FRAMINGHAM     ,"68,318","$8,415,039.00","$45,148,914.25",
HAVERHILL      ,"60,879","$8,312,994.00","$50,339,291.75",
WALTHAM        ,"60,632","$8,122,362.00","$53,349,255.50",
MALDEN         ,"59,450","$10,611,641.00","$57,814,262.25",
BROOKLINE      ,"58,732","$5,370,029.00","$10,624,289.25",
PLYMOUTH       ,"56,468","$3,314,295.00","$37,490,671.00",
MEDFORD        ,"56,173","$10,259,690.00","$49,275,185.00",
TAUNTON        ,"55,874","$7,114,121.00","$46,638,765.00",
CHICOPEE       ,"55,298","$9,739,822.00","$59,637,448.25",
WEYMOUTH       ,"53,743","$7,375,304.00","$61,394,199.00",
REVERE         ,"51,755","$8,700,801.00","$46,922,255.25",
PEABODY        ,"51,251","$6,105,613.00","$59,885,790.00",
METHUEN        ,"47,255","$4,598,863.00","$68,343,922.75",
BARNSTABLE     ,"45,193","$1,779,132.00","$36,826,667.00",
PITTSFIELD     ,"44,737","$7,302,808.00","$40,274,917.25",
ATTLEBORO      ,"43,593","$4,825,303.00","$37,759,185.75",
ARLINGTON      ,"42,844","$6,416,909.00","$19,678,056.50",
EVERETT        ,"41,667","$5,843,460.00","$42,435,474.25",
SALEM          ,"41,340","$5,834,758.00","$32,920,378.00",
WESTFIELD      ,"41,094","$5,324,736.00","$29,207,475.75",
LEOMINSTER     ,"40,759","$4,840,828.00","$36,279,747.25",
FITCHBURG      ,"40,318","$7,218,116.00","$26,872,693.50",
BILLERICA      ,"40,243","$4,925,266.00","$38,207,305.00",
HOLYOKE        ,"39,880","$8,590,161.00","$27,230,460.50",
BEVERLY        ,"39,502","$4,939,380.00","$29,435,504.50",
MARLBOROUGH    ,"38,499","$4,604,312.00","$30,084,905.25",
WOBURN         ,"38,120","$5,063,784.00","$38,478,005.00",
AMHERST        ,"37,819","$7,120,842.00","$6,412,846.00",
BRAINTREE      ,"35,744","$4,840,026.00","$33,469,480.50",
SHREWSBURY     ,"35,608","$2,356,176.00","$17,015,573.25",
CHELSEA        ,"35,177","$6,946,677.00","$41,467,817.00",
DARTMOUTH      ,"34,032","$2,132,179.00","$15,072,947.75",
CHELMSFORD     ,"33,802","$4,292,998.00","$22,702,873.00",
ANDOVER        ,"33,201","$1,511,358.00","$10,648,442.50",
NATICK         ,"33,006","$3,223,110.00","$17,502,422.50",
RANDOLPH       ,"32,112","$4,396,472.00","$28,854,184.50",
WATERTOWN      ,"31,915","$5,641,884.00","$28,920,467.25",
FRANKLIN       ,"31,635","$2,089,973.00","$15,045,016.50",
FALMOUTH       ,"31,531","$1,172,624.00","$23,670,963.25",
LEXINGTON      ,"31,394","$1,296,276.00","$10,575,607.75",
DRACUT         ,"29,457","$2,963,502.00","$35,495,495.00",
TEWKSBURY      ,"28,961","$2,354,150.00","$32,385,412.00",
NEEDHAM        ,"28,886","$1,476,550.00","$6,957,453.25",
GLOUCESTER     ,"28,789","$3,378,096.00","$23,844,062.75",
NORTH ATTLEBOROUGH,"28,712","$2,433,430.00","$15,398,627.00",
NORWOOD        ,"28,602","$3,934,274.00","$36,085,198.75",
NORTHAMPTON    ,"28,549","$3,717,624.00","$18,527,751.00",
AGAWAM         ,"28,438","$3,116,003.00","$24,307,100.50",
WEST SPRINGFIELD,"28,391","$3,031,424.00","$24,852,143.00",
NORTH ANDOVER  ,"28,352","$1,733,403.00","$14,995,610.00",
MILFORD        ,"27,999","$2,583,471.00","$24,110,211.75",
WELLESLEY      ,"27,982","$1,095,717.00","$4,294,579.25",
MILTON         ,"27,003","$2,717,762.00","$5,870,792.00",
MELROSE        ,"26,983","$4,337,759.00","$10,091,990.25",
STOUGHTON      ,"26,962","$2,708,574.00","$29,005,591.75",
SAUGUS         ,"26,628","$3,103,116.00","$33,406,336.00",
BRIDGEWATER    ,"26,563","$3,080,637.00","$15,505,258.00",
DANVERS        ,"26,493","$2,409,018.00","$26,880,973.25",
MARSHFIELD     ,"25,132","$1,832,321.00","$19,502,217.00",
WAKEFIELD      ,"24,932","$2,849,501.00","$21,223,392.50",
READING        ,"24,747","$2,742,082.00","$11,248,653.00",
BELMONT        ,"24,729","$1,909,790.00","$12,479,217.50",
DEDHAM         ,"24,729","$2,765,940.00","$25,532,028.00",
BURLINGTON     ,"24,498","$2,215,064.00","$19,614,220.50",
WALPOLE        ,"24,070","$2,155,690.00","$12,810,280.00",
YARMOUTH       ,"23,793","$1,067,932.00","$22,909,854.00",
MANSFIELD      ,"23,184","$1,886,682.00","$13,635,905.00",
MIDDLEBOROUGH  ,"23,116","$2,085,358.00","$17,704,916.75",
EASTON         ,"23,112","$1,852,233.00","$16,302,669.75",
WILMINGTON     ,"22,325","$2,103,236.00","$14,402,544.25",
HINGHAM        ,"22,157","$1,334,874.00","$13,359,296.50",
WESTFORD       ,"21,951","$1,797,543.00","$11,067,733.25",
ACTON          ,"21,924","$1,183,155.00","$8,605,228.00",
WAREHAM        ,"21,822","$1,673,496.00","$27,716,133.00",
CANTON         ,"21,561","$1,813,812.00","$14,550,132.75",
STONEHAM       ,"21,437","$3,143,525.00","$16,369,069.75",
WINCHESTER     ,"21,374","$1,251,470.00","$6,871,984.50",
LUDLOW         ,"21,103","$2,583,866.00","$18,433,395.75",
SANDWICH       ,"20,675","$953,340.00","$13,005,059.75",
GARDNER        ,"20,228","$3,584,191.00","$17,329,080.75",
MARBLEHEAD     ,"19,808","$963,171.00","$4,243,820.00",
BOURNE         ,"19,754","$1,239,900.00","$16,321,497.25",
HUDSON         ,"19,063","$1,686,649.00","$12,455,946.00",
NORTON         ,"19,031","$1,757,961.00","$12,707,581.25",
WESTBOROUGH    ,"18,272","$980,165.00","$9,577,804.50",
SOMERSET       ,"18,165","$1,297,302.00","$14,122,389.00",
SCITUATE       ,"18,133","$1,701,540.00","$6,446,178.50",
PEMBROKE       ,"17,837","$1,421,815.00","$15,709,137.75",
GRAFTON        ,"17,765","$1,322,498.00","$8,523,257.25",
CONCORD        ,"17,668","$981,239.00","$4,606,078.75",
SUDBURY        ,"17,659","$1,184,015.00","$2,483,108.75",
SHARON         ,"17,612","$1,184,040.00","$2,485,116.50",
SOUTH HADLEY   ,"17,514","$2,209,062.00","$10,414,749.50",
WINTHROP       ,"17,497","$3,565,783.00","$13,259,599.50",
ROCKLAND       ,"17,489","$2,236,010.00","$19,591,066.25",
GREENFIELD     ,"17,456","$2,685,303.00","$17,037,949.25",
NEWBURYPORT    ,"17,416","$2,157,204.00","$8,788,243.50",
HOLDEN         ,"17,346","$1,617,133.00","$7,356,671.50",
FOXBOROUGH     ,"16,865","$1,259,852.00","$11,488,161.75",
WEBSTER        ,"16,767","$2,094,234.00","$18,393,656.25",
SOUTHBRIDGE    ,"16,719","$2,975,671.00","$15,797,297.50",
ASHLAND        ,"16,593","$1,143,808.00","$14,717,463.00",
BELLINGHAM     ,"16,332","$1,435,208.00","$19,915,245.00",
AMESBURY       ,"16,283","$1,645,476.00","$7,672,524.75",
AUBURN         ,"16,188","$1,448,540.00","$15,619,730.75",
EASTHAMPTON    ,"16,053","$2,377,410.00","$13,134,893.75",
ABINGTON,"15,985","$1,663,872.00","$27,800,313.50",
FAIRHAVEN      ,"15,873","$1,907,302.00","$11,995,114.25",
SWANSEA        ,"15,865","$1,588,632.00","$16,137,586.00",
LONGMEADOW     ,"15,784","$1,181,711.00","$3,935,140.50",
EAST LONGMEADOW,"15,720","$1,224,304.00","$11,918,079.75",
NORTHBRIDGE    ,"15,707","$1,785,406.00","$8,558,263.00",
WESTPORT       ,"15,532","$1,029,055.00","$11,248,654.75",
DUXBURY        ,"15,059","$749,739.00","$2,784,035.50",
HOPKINTON      ,"14,925","$664,434.00","$4,206,346.75",
NORTH READING  ,"14,892","$1,501,819.00","$16,827,270.75",
BELCHERTOWN    ,"14,649","$1,439,150.00","$5,688,878.50",
WESTWOOD       ,"14,618","$617,080.00","$3,602,814.00",
WHITMAN        ,"14,489","$2,048,158.00","$12,647,871.50",
WILBRAHAM      ,"14,219","$1,237,908.00","$6,360,761.75",
DENNIS         ,"14,207","$460,638.00","$12,405,143.00",
NORTHBOROUGH   ,"14,155","$943,470.00","$7,950,835.25",
MASHPEE        ,"14,006","$311,192.00","$10,411,148.00",
HANOVER        ,"13,879","$1,791,747.00","$14,906,789.50",
EAST BRIDGEWATER,"13,794","$1,266,059.00","$11,544,175.75",
SWAMPSCOTT     ,"13,787","$1,094,842.00","$3,504,523.25",
SEEKONK        ,"13,722","$1,040,834.00","$17,147,159.00",
OXFORD         ,"13,709","$1,739,231.00","$16,118,961.50",
NORTH ADAMS,"13,708","$3,752,495.00","$12,502,148.25",
CLINTON        ,"13,606","$1,991,079.00","$14,332,549.75",
HOLLISTON      ,"13,547","$1,309,824.00","$3,099,901.00",
UXBRIDGE       ,"13,457","$1,163,833.00","$8,595,239.00",
RAYNHAM        ,"13,383","$961,807.00","$17,445,658.50",
BEDFORD        ,"13,320","$970,936.00","$6,914,821.00",
MILLBURY       ,"13,261","$1,497,772.00","$9,860,809.50",
IPSWICH        ,"13,175","$1,357,726.00","$7,774,485.00",
WAYLAND        ,"12,994","$764,572.00","$5,420,513.50",
CHARLTON       ,"12,981","$1,225,401.00","$5,901,659.75",
MEDWAY         ,"12,752","$1,031,914.00","$6,544,809.50",
KINGSTON       ,"12,629","$811,851.00","$14,733,303.25",
HARWICH        ,"12,243","$364,333.00","$10,879,500.00",
PALMER         ,"12,140","$1,696,284.00","$14,327,934.00",
MEDFIELD       ,"12,024","$1,226,088.00","$3,934,686.00",
SPENCER        ,"11,688","$1,913,110.00","$8,785,289.75",
REHOBOTH       ,"11,608","$881,695.00","$2,279,707.50",
LYNNFIELD      ,"11,596","$879,672.00","$5,973,499.00",
ATHOL          ,"11,584","$2,239,276.00","$11,304,025.25",
CARVER         ,"11,509","$1,235,613.00","$9,100,677.00",
PEPPERELL      ,"11,497","$1,262,405.00","$4,223,808.00",
DUDLEY         ,"11,390","$1,511,226.00","$8,393,392.50",
TYNGSBOROUGH   ,"11,292","$817,416.00","$19,676,680.25",
WESTON         ,"11,261","$316,391.00","$510,246.75",
NORFOLK        ,"11,227","$811,132.00","$4,128,957.50",
LEICESTER      ,"10,970","$1,468,595.00","$7,633,631.00",
WRENTHAM       ,"10,955","$788,586.00","$4,258,702.25",
HOLBROOK       ,"10,791","$1,248,008.00","$13,448,713.25",
GROTON         ,"10,646","$655,194.00","$2,552,052.50",
LAKEVILLE      ,"10,602","$692,065.00","$4,875,186.75",
NORWELL        ,"10,506","$906,717.00","$5,572,794.75",
ACUSHNET       ,"10,303","$1,282,445.00","$4,568,506.25",
WINCHENDON     ,"10,300","$1,422,984.00","$6,618,487.75",
HULL           ,"10,293","$1,792,503.00","$7,265,051.75",
HANSON         ,"10,209","$1,083,133.00","$8,706,088.00",
NANTUCKET      ,"10,172","$67,017.00","$8,721,016.25",
MAYNARD        ,"10,106","$1,328,816.00","$6,385,157.50",
LUNENBURG      ,"10,086","$894,449.00","$7,630,387.75",
WARE           ,"9,872","$1,460,280.00","$6,818,654.25",
