,City or town,Per Capita Income,Median Household Income,,,,,,
,Weston,"$105,217","$192,563",,,,,,
,Dover,"$89,476","$187,829",,,,,,
,Carlisle,"$77,585","$160,034",,,,,,
,Sherborn,"$73,420","$153,444",,,,,,
,Sudbury,"$72,744","$170,924",,,,,,
,Wellesley,"$72,046","$159,167",,,,,,
,Winchester,"$70,876","$131,000",,,,,,
,Manchester-by-the-Sea,"$70,075","$115,650",,,,,,
,Lexington,"$69,959","$139,561",,,,,,
,Boxford,"$69,734","$125,833",,,,,,
,Wayland,"$69,109","$130,746",,,,,,
,Concord,"$68,934","$134,705",,,,,,
,Brookline,"$65,340","$96,488",,,,,,
,Newton,"$63,872","$119,148",,,,,,
,Needham,"$63,117","$127,753",,,,,,
,Westwood,"$62,949","$128,984",,,,,,
,Southborough,"$62,663","$143,581",,,,,,
,Medfield,"$62,076","$133,931",,,,,,
,Lincoln,"$62,061","$126,395",,,,,,
,Boxborough,"$61,461","$101,502",,,,,,
,Cohasset,"$61,267","$117,829",,,,,,
,Hingham,"$60,770","$106,854",,,,,,
,Marblehead,"$58,082","$98,399",,,,,,
,Hopkinton,"$56,899","$129,578",,,,,,
,Belmont,"$56,850","$110,584",,,,,,
,Topsfield,"$56,488","$111,696",,,,,,
,Bolton,"$55,369","$146,029",,,,,,
,Alford,"$55,322","$76,750",,,,,,
,Duxbury,"$54,596","$118,272",,,,,,
,Longmeadow,"$53,767","$106,173",,,,,,
,Acton,"$53,379","$110,592",,,,,,
,Boylston,"$53,378","$97,938",,,,,,
,Sharon,"$53,227","$125,625",,,,,,
,Richmond,"$53,209","$85,588",,,,,,
,West Newbury,"$53,144","$111,652",,,,,,
,Andover,"$52,275","$112,681",,,,,,
,Harvard,"$52,258","$137,500",,,,,,
,Pelham,"$50,637","$82,596",,,,,,
,Tyringham,"$50,351","$75,938",,,,,,
,Natick,"$50,118","$95,202",,,,,,
,Arlington,"$49,549","$89,841",,,,,,
,Westford,"$49,341","$124,464",,,,,,
,Mount Washington,"$49,247","$57,500",,,,,,
,Scituate,"$49,146","$99,034",,,,,,
,Bedford,"$48,725","$107,705",,,,,,
,Swampscott,"$48,611","$92,258",,,,,,
,Groton,"$48,248","$117,127",,,,,,
,Norwell,"$48,205","$113,944",,,,,,
,Dunstable,"$48,133","$119,022",,,,,,
,Stow,"$47,880","$115,714",,,,,,
,Littleton,"$47,502","$105,455",,,,,,
,Cambridge,"$47,448","$72,529",,,,,,
,Nantucket,"$47,331","$85,478",,,,,,
,Reading,"$47,173","$105,459",,,,,,
,North Andover,"$46,788","$96,002",,,,,,
,Lynnfield,"$46,659","$110,980",,,,,,
,Wenham,"$46,255","$127,606",,,,,,
,Holliston,"$46,206","$110,323",,,,,,
,Milton,"$46,166","$111,071",,,,,,
,Newburyport,"$46,124","$78,638",,,,,,
,Canton,"$46,086","$89,900",,,,,,
,Westborough,"$45,929","$100,905",,,,,,
,Ashland,"$45,834","$93,233",,,,,,
,Nahant,"$45,464","$66,964",,,,,,
,Marion,"$45,269","$80,456",,,,,,
,Provincetown,"$45,204","$41,140",,,,,,
,Chatham,"$45,078","$64,936",,,,,,
,North Reading,"$45,031","$110,852",,,,,,
,Wrentham,"$45,019","$100,574",,,,,,
,Watertown,"$44,732","$87,401",,,,,,
,Hamilton,"$44,500","$105,865",,,,,,
,Berlin,"$44,297","$95,962",,,,,,
,Chilmark,"$44,195","$64,457",,,,,,
,Northborough,"$43,878","$108,415",,,,,,
,Medway,"$43,335","$106,132",,,,,,
,Georgetown,"$43,297","$107,775",,,,,,
,Marshfield,"$43,291","$92,555",,,,,,
,Norfolk,"$43,151","$134,104",,,,,,
,Dedham,"$43,063","$84,704",,,,,,
,Ipswich,"$43,021","$77,087",,,,,,
,Princeton,"$42,921","$120,607",,,,,,
,Walpole,"$42,869","$92,397",,,,,,
,Foxborough,"$42,801","$91,601",,,,,,
,Upton,"$42,745","$105,729",,,,,,
,Chelmsford,"$42,402","$96,336",,,,,,
,Melrose,"$42,361","$85,704",,,,,,
,Sutton,"$42,293","$110,362",,,,,,
,Essex,"$42,259","$74,211",,,,,,
,Mansfield,"$42,207","$93,539",,,,,,
,Franklin,"$41,946","$99,194",,,,,,
,Newbury,"$41,891","$91,678",,,,,,
,Rockport,"$41,762","$66,402",,,,,,
,Mendon,"$41,740","$105,389",,,,,,
,Orleans,"$41,573","$60,303",,,,,,
,Hanover,"$41,219","$99,250",,,,,,
,Burlington,"$41,186","$94,804",,,,,,
,Hull,"$41,064","$75,551",,,,,,
,Tyngsborough,"$40,920","$90,987",,,,,,
,Holden,"$40,800","$95,244",,,,,,
,Sterling,"$40,536","$98,872",,,,,,
,Leverett,"$40,416","$73,000",,,,,,
,Egremont,"$40,308","$55,388",,,,,,
,Groveland,"$40,222","$97,463",,,,,,
,Wakefield,"$40,111","$84,011",,,,,,
,Shrewsbury,"$39,920","$92,132",,,,,,
,Grafton,"$39,887","$87,077",,,,,,
,Tolland,"$39,806","$81,667",,,,,,
,Tewksbury,"$39,675","$89,241",,,,,,
,Millis,"$39,651","$91,341",,,,,,
,Falmouth,"$39,545","$61,685",,,,,,
,New Ashford,"$39,527","$73,333",,,,,,
,Truro,"$39,472","$57,578",,,,,,
,Maynard,"$39,447","$77,622",,,,,,
,Aquinnah,"$39,414","$76,667",,,,,,
,Plainville,"$39,346","$77,109",,,,,,
,Wellfleet,"$39,276","$47,166",,,,,,
,Middleton,"$39,115","$104,245",,,,,,
,Hopedale,"$38,747","$89,408",,,,,,
,Wilbraham,"$38,682","$86,958",,,,,,
,Amesbury,"$38,659","$78,486",,,,,,
,Plympton,"$38,629","$93,563",,,,,,
,Edgartown,"$38,588","$66,711",,,,,,
,Stoneham,"$38,561","$76,127",,,,,,
,Easton,"$38,522","$93,922",,,,,,
,Shutesbury,"$38,361","$69,722",,,,,,
